ArticleDate,URL ,ArticleTitle 
1/28/2010,https://www.dawn.com/news/845026/newspaper/newspaper/column,"Call to ban eating dogs, cats"
7/9/2010,https://images.dawn.com/news/1183051,Important questions you need to ask yourself before adopting a pet
10/15/2010,https://www.dawn.com/news/825431/animal-cruelty-haunts-the-balkans,Animal Cruelty haunts the Balkans
1/10/2012,https://www.dawn.com/news/687007/animal-welfare-a-long-way-from-home,Animal welfare - A long way from home
5/2/2012,https://www.dawn.com/2012/05/02/animal-shelter/,Animal Shelter
5/14/2012,https://www.dawn.com/news/718298/breaking-the-cycle-of-animal-abuse,Breaking the cycle of animal abuse
5/8/2013,https://beta.dawn.com/news/812692/pml-ns-election-symbol-dies,PML-N's election symbol dies 
5/9/2013,https://www.dawn.com/news/1026684/tiger-tiger-burning-bright,"Tiger, tiger burning bright "
5/9/2013,https://www.dawn.com/news/1026671/lhc-admits-petition-on-pml-n-rare-tigers-death,LHC admits petition on PML-N rare tiger's death 
9/19/2014,https://www.dawn.com/news/1132998,"Animal Abuse, in the name of Protest"
11/29/2014,https://www.dawn.com/news/1147713,Searching for strays: Where are Pakistan's animal shelters? 
4/6/2015,https://www.dawn.com/news/1174300,Slaughterhouse rules: Is halal always humane? 
10/3/2015,https://www.dawn.com/news/1210592,Kaavan to stay at Islamabad Zoo
1/26/2016,https://www.dawn.com/news/1235501,"The pangolian dies - yes, it matters"
2/25/2016,https://www.dawn.com/news/1241633,Clifton's war on stray dogs: An excuse for sadism?
3/5/2016,https://www.dawn.com/news/1241406,Something beautiful is happening at the Ayesha Chundrigar Foundation
3/27/2016,https://www.dawn.com/news/1248152,Dead animals 
1/20/2017,https://www.dawn.com/news/1309610,Blood and dust at Rahim Yar Khan's 'Camel Dangal' 
3/16/2017,https://www.dawn.com/news/1320720,Give the management of Karachi Zoo to experts'
4/1/2017,https://www.dawn.com/news/1324048,The weekly weird
5/3/2017,https://images.dawn.com/news/1177374,How social media and celebrity activists contribute to better animal rights in Pakistan 
5/8/2017,https://www.dawn.com/news/1331816,Saeed had no family until his donkey Raju gave him companionship 
12/10/2017,https://www.dawn.com/news/1375558,media: say no to animal selfies 
7/17/2018,https://images.dawn.com/news/1180462,Political supporters torture a donkey during election campaign 
7/27/2018,https://www.dawn.com/news/1423270,"Dog wrapped in political party flag shot dead, captured on film "
7/28/2018,https://www.dawn.com/news/1423446,KP police arrests two suspects for shooting dog wrapped in party flag 
7/31/2018,https://www.dawn.com/news/1423791,Animal Abuse
8/6/2018,https://www.dawn.com/news/1425140/protest-against-animal-rights-violations,Protests against animal rights violations 
8/27/2018,https://www.dawn.com/news/1429224/lahore-zoo-deaths,Lahore Zoo deaths 
12/2/2018,https://images.dawn.com/news/1181392,Priyanka Chopra and Nick Jonas criticised by PETA for animal abuse
12/19/2018,https://images.dawn.com/news/1181344,"Like every other year, 2018 was the year of male rage "
2/11/2019,https://www.dawn.com/news/1463057,Case against five people for killing pet dog 
4/17/2019,https://images.dawn.com/news/1182413/lahores-stray-animals-find-respite-from-cruelty-and-abuse-at-todds-welfare-society,Lahore's strays find respite from cruelty and abuse at Todd's Welfare Society
7/2/2019,https://www.dawn.com/news/1491657,Big Cats of Instagram: Pakistan elite's love of toxic wildlife 
7/21/2019,https://www.dawn.com/news/1495321,Animal Abuse
12/2/2019,https://www.dawn.com/news/1520022/rescued-tigers-leave-poland-for-spain,Rescued tigers leave Poland for Spain
1/17/2020,https://www.dawn.com/news/1528908,Dozens injured at India bull-taming festival 
10/12/2020,https://www.dawn.com/news/1584575,Activists demand probe into animal abuse cases at Tollinton market 
12/27/2020,https://www.dawn.com/news/1598024,Society: The dog days of Pakistan 
1/1/2021,https://images.dawn.com/news/1186313,Istanbul's streets are safe for stray dogs - Can Pakistan follow its lead? 
1/24/2021,https://www.dawn.com/news/1603231/a-rising-trend-of-pets-but-what-about-mistreatment,The rising trend of Pets - but what about mistreatment?
1/25/2021,https://www.dawn.com/news/1603427,Protest held against animal cruelty
3/14/2021,https://www.dawn.com/news/1612445,"Thailand celebrates Elephant Day, hoping tourists will return "
4/2/2021,https://images.dawn.com/news/1186861/how-difficult-is-it-to-be-a-vegan-in-pakistan,How difficult is it to be a vegan in Pakistan? 
4/6/2021,https://images.dawn.com/news/1186928,Ayesha Chundrigar is vaccinating Karachi's dogs but she needs your help 
5/1/2021,https://images.dawn.com/news/1187125,"Time Out with Ahsan Khan fined with Rs. 500,000 by PEMRA for using animals as props "
7/19/2021,https://images.dawn.com/news/1188036/anoushey-ashraf-asks-us-to-care-respect-and-love-our-sacrificial-animals-this-eid,"Anoushey Ashraf asks us to 'care, respect, and love' our sacrificial animals "
8/31/2021,https://www.dawn.com/news/1643575/ex-bureaucrat-accused-of-killing-cat-in-islamabad-released-on-bail,Ex-bureaucrat accused of killing cat in Islamabd released on bail 
11/24/2021,https://www.dawn.com/news/1660011,"Rare white lion dies at Karachi Zoo, Murtaza Wahab seeks report "
3/14/2022,https://www.dawn.com/news/1679885,Thailand lays out buffet for elephants in national celebration 
3/30/2022,https://images.dawn.com/news/1189823/anoushey-ashraf-calls-out-pml-n-for-animal-abuse-at-a-political-rally,Anoushey Ashraf calls out PML-N for Animal Abuse at a political rally 
5/24/2022,https://images.dawn.com/news/1190146/men-reaching-out-for-help-should-be-encouraged-anoushey-ashraf-talks-about-mens-mental-health,Men reaching out to help should be encouraged': Anoushey Ashraf 
5/26/2022,https://images.dawn.com/news/1190147/pet-owners-panic-as-cat-and-dog-food-lands-on-list-of-banned-imported-goods,Pet owners panic as cat and dog food lands on list of banned imported goods 
12/3/2022,https://images.dawn.com/news/1191247,Pakistan's first animal rights curriculum to be launched ahead of Animal Rights Day
3/27/2023,https://images.dawn.com/news/1191646/peta-condemns-horse-death-on-lord-of-the-rings-set-calls-it-animal-exploitation,"Peta condemns horse death on Lord of the Rings set, calls it animal exploitation "
4/20/2023,https://www.dawn.com/news/1748653,Animal Abuse
4/29/2023,https://www.dawn.com/news/1749938/selective-empathy,Selective empathy
6/14/2023,https://www.dawn.com/news/1759663/animal-sanctuaries,Animal Sanctuaries
8/31/2023,https://www.dawn.com/news/1773103,Karachi Zoo lone 'beneficiary' of dramatic lion rescue
9/9/2023,https://www.dawn.com/news/1710764,Govt plans to upgrade archaic animal welfare laws
10/1/2023,https://www.dawn.com/news/1778655/psychological-effects-on-children-exposed-to-animal-abuse,Psychological effects on children exposed to animal abuse
10/21/2023,https://www.dawn.com/news/1781966,Cruelty against caged animals
10/21/2023,https://www.dawn.com/news/1782544,Caring for the creatures in our life
5/4/2024,https://www.dawn.com/news/1831356,Spain scraps national bullfighting prize
6/8/2024,https://images.dawn.com/news/1192498,Human Beings are Pure Evil': Dog thrown from balcony in Karachi's Liaquatabad sparks outrage online 
6/16/2024,https://www.dawn.com/news/1840277/six-suspects-remanded-in-police-custody-for-allegedly-mutilating-camel-in-sanghar,Six suspects remanded in police custody for allegedly mutilating camel in Sanghar
6/26/2024,https://www.dawn.com/news/1842063/cruelty-to-animals,Cruelty to animals 
7/8/2024,https://www.dawn.com/news/1842305,The tale of an amputated camel and a broken society 
