year,word,freq,rank
2010,dog,26,1
2011,dog,0,1
2012,dog,10,1
2013,dog,0,1
2014,dog,14,1
2015,dog,0,1
2016,dog,28,1
2017,dog,9,1
2018,dog,12,1
2019,dog,26,1
2020,dog,25,1
2021,dog,59,1
2022,dog,9,1
2023,dog,8,1
2024,dog,35,1
2010,stray,6,2
2011,stray,0,2
2012,stray,6,2
2013,stray,0,2
2014,stray,8,2
2015,stray,0,2
2016,stray,18,2
2017,stray,10,2
2018,stray,0,2
2019,stray,2,2
2020,stray,14,2
2021,stray,21,2
2022,stray,5,2
2023,stray,10,2
2024,stray,14,2
2010,cat,12,3
2011,cat,0,3
2012,cat,2,3
2013,cat,0,3
2014,cat,1,3
2015,cat,0,3
2016,cat,2,3
2017,cat,3,3
2018,cat,0,3
2019,cat,17,3
2020,cat,3,3
2021,cat,13,3
2022,cat,8,3
2023,cat,9,3
2024,cat,4,3
2010,donkey,0,4
2011,donkey,0,4
2012,donkey,2,4
2013,donkey,0,4
2014,donkey,4,4
2015,donkey,0,4
2016,donkey,12,4
2017,donkey,2,4
2018,donkey,22,4
2019,donkey,1,4
2020,donkey,0,4
2021,donkey,0,4
2022,donkey,0,4
2023,donkey,1,4
2024,donkey,6,4
2010,camel,0,5
2011,camel,0,5
2012,camel,0,5
2013,camel,0,5
2014,camel,0,5
2015,camel,0,5
2016,camel,0,5
2017,camel,24,5
2018,camel,0,5
2019,camel,0,5
2020,camel,0,5
2021,camel,0,5
2022,camel,0,5
2023,camel,0,5
2024,camel,24,5
2010,tiger,0,6
2011,tiger,0,6
2012,tiger,0,6
2013,tiger,20,6
2014,tiger,3,6
2015,tiger,0,6
2016,tiger,0,6
2017,tiger,0,6
2018,tiger,0,6
2019,tiger,9,6
2020,tiger,0,6
2021,tiger,0,6
2022,tiger,0,6
2023,tiger,0,6
2024,tiger,0,6
2010,lion,0,7
2011,lion,0,7
2012,lion,0,7
2013,lion,2,7
2014,lion,2,7
2015,lion,0,7
2016,lion,0,7
2017,lion,0,7
2018,lion,1,7
2019,lion,9,7
2020,lion,0,7
2021,lion,10,7
2022,lion,0,7
2023,lion,7,7
2024,lion,0,7
2010,elephant,0,8
2011,elephant,0,8
2012,elephant,0,8
2013,elephant,0,8
2014,elephant,0,8
2015,elephant,5,8
2016,elephant,2,8
2017,elephant,3,8
2018,elephant,4,8
2019,elephant,0,8
2020,elephant,0,8
2021,elephant,9,8
2022,elephant,0,8
2023,elephant,2,8
2024,elephant,3,8
2010,horse,0,9
2011,horse,0,9
2012,horse,2,9
2013,horse,0,9
2014,horse,0,9
2015,horse,0,9
2016,horse,2,9
2017,horse,2,9
2018,horse,3,9
2019,horse,2,9
2020,horse,0,9
2021,horse,0,9
2022,horse,0,9
2023,horse,11,9
2024,horse,2,9
2010,puppy,4,10
2011,puppy,0,10
2012,puppy,5,10
2013,puppy,0,10
2014,puppy,12,10
2015,puppy,0,10
2016,puppy,0,10
2017,puppy,0,10
2018,puppy,0,10
2019,puppy,1,10
2020,puppy,0,10
2021,puppy,2,10
2022,puppy,0,10
2023,puppy,0,10
2024,puppy,0,10
2010,bear,1,11
2011,bear,0,11
2012,bear,0,11
2013,bear,0,11
2014,bear,0,11
2015,bear,0,11
2016,bear,1,11
2017,bear,4,11
2018,bear,3,11
2019,bear,1,11
2020,bear,0,11
2021,bear,0,11
2022,bear,0,11
2023,bear,4,11
2024,bear,0,11
2010,bull,0,12
2011,bull,0,12
2012,bull,1,12
2013,bull,0,12
2014,bull,2,12
2015,bull,0,12
2016,bull,0,12
2017,bull,0,12
2018,bull,0,12
2019,bull,0,12
2020,bull,7,12
2021,bull,2,12
2022,bull,0,12
2023,bull,0,12
2024,bull,0,12
2010,bird,0,13
2011,bird,0,13
2012,bird,2,13
2013,bird,0,13
2014,bird,0,13
2015,bird,0,13
2016,bird,1,13
2017,bird,4,13
2018,bird,0,13
2019,bird,1,13
