publication_date,article_title,scraped_title,url,text
2010-01-28T00:00:00Z,"Call to ban eating dogs, cats","Call to ban eating dogs, cats - DAWN.COM",https://www.dawn.com/news/845026/newspaper/newspaper/column,"CHINESE legal experts are proposing a ban on eating dogs and cats in a contentious move to end a culinary tradition dating back thousands of years. The recommendation will be submitted to higher authorities in April as part of a draft bill to tackle animal abuse. In ancient times, dog meat was considered a medicinal tonic. Today, it is commonly available throughout the country, but particularly in the north where dog stew is popular for its supposed warming qualities. In recent years, however, such traditions are increasingly criticised by an affluent, pet-loving, urban middle class. Online petitions against dog and cat consumption have attracted tens of thousands of signatures. Videos showing the maltreatment of farmed dogs have spurred protests at markets where the animals are bought and sold. But the drafters of the new proposal want far more drastic measures, which would oblige law enforcement authorities to close down thousands of dog restaurants and butchers which supply the meat. According to the draft, illegal sale or consumption of pets would incur a maximum penalty of 15 days in prison for individuals or a 500,000 yuan fine for businesses. Public security bureaus would be obliged to respond to hotline calls from the public about violations. “We are proposing that all dog and cat eating should be banned because it is causing many social problems,” said Chang Jiwen, a law professor at the Chinese Academy of Social Sciences who heads the drafting team. He said recent murders and thefts related to the dog meat trade showed that it had become a source of tension, while the economic impact of a ban would be small because an increasingly affluent population was less dependent on dog and cat meat. The proposal reflects changing public opinion and international input. Drafters at the Chinese Academy of Social Sciences have been consulting for more than a year with Britain's Royal Society for the Prevention of Cruelty to Animals and the US-based International Fund for Animal Welfare. But the plan for a dog meat ban has stirred up fierce debate between animal welfare groups and defenders of traditional values. “I support this proposal. Whether you judge this as a question of food security or emotions, there is absolutely no necessity in China for people to eat dogs and cats,” said Zeng Li, the founder of the Lucky Cats shelter in Beijing. “We need something more than moral pressure. Beijing's dog restaurants get their meat mainly from vagrant and stolen dogs. In the suburbs, dogs are hung and slaughtered in front of buyers.” Online critics said it was hypocritical to protect only dogs and cats, and that the government should focus on human welfare before protecting animals. “This is absurd. Why only dogs and cats? How about pigs, cows and sheep,” wrote a poster going by the name Mummy on the Xhinua news agency website. I hope the experts went to see what laid-off workers and people in rural areas have to eat. They should pay more concern to problems that people really care about,” said another contributor under the name Starfish. Even before the pet meat ban, the draft bill had already provoked controversy. Initial plans for a comprehensive animal welfare law had to be dropped in the face of criticism that human living conditions ought to be the priority at this stage in China's development."
2010-07-09T00:00:00Z,Important questions you need to ask yourself before adopting a pet,Important questions you need to ask yourself before adopting a pet - Comment - Images,https://images.dawn.com/news/1183051,"Given how cute and cuddly animals are, it's easy to want to adopt them. However, what is not easy is taking care of them. Caring for pets is a full-time commitment and requires an investment of not just your money but also time and love. We have all heard of pets being cast off because their owners are no longer able to take care of them. Being abandoned leaves pets scared and traumatized. We got in touch with animal activists Ayesha Chundrigar and Sarah J.K to compile a list of things one should consider before getting a pet. Ayesha Chundrigar is the founder and CEO of ACF Animal Rescue and Sarah J.K is the founder of Bella & Buddy and director of Animal Welfare at CDRS; Bella & Buddy sells pet products to generate funds for animals’ rescue. They have advised people to keep the following things in mind before getting a pet: Don't be impulsive, think carefully about whether you lifestyle allows for a pet or not. If your schedule is super busy, a cat might be a suitable pet for you as they are independent and pretty easy to take care of. Rescue/stray cats are even easier because they don't require grooming. Dogs, however, are very dependent on their owners and demand a lot more in terms of proper exercise, love and training. Ayesha said, ""As long as the pet is alive, it has to be like your child, you cannot give it up if and when things get difficult or if they have an ailment. You have to make time for them and be with them in sickness and in health."" The usual life expectancy of happy, healthy animals is 12-15 years so only get them if you can make a lifelong commitment no matter what comes your way. Sarah gave the example of her dog, Honey: ""She was adopted at 3 months and then sent back to me a month later, starving and scared of everything. Then she got adopted again and sent back in one week."" ""She then went to ACF, got depressed, stopped eating."" In the end, Sarah herself adopted Honey who turned our to be an absolute sweetheart. Ayesha also shared an incredibly sad story of a pet adoption drive that was held at T2F. ""At T2F, we had an adoption drive that we're never, ever doing again. All our animals were adopted only because people wanted their photographs posted on social media and wanted to be known as very kind people. From the very next day, all the animals were very slowly and systematically sent back to us. Some were sent back in locked trunks and two dogs even died."" It's heartbreaking to see how cruel people can be. Chundrigar also added that it often happens that once puppies start teething, they start chewing on things and people decide to give them up rather than deal with this issue. Abandoned pets become very anxious, nervous and insecure, and usually end up getting dumped at shelters. Are you willing to invest in proper food, training, grooming as well as medical procedures like spaying, neutering, vaccinations? Owners should realize that having a pet is very expensive therefore, they should only get it if they're in the financial position to give it the best life possible. Sarah said ""When choosing a vet make sure to check the quality of service and the products being used, and keep in mind that good vets and groomers don't come cheap"". Pet owners must make sure to get their pets spayed/neutered once they reach the age which is usually three months, as they are less likely to contract deadly, contagious diseases, such as feline AIDS and feline leukemia, that are spread through bodily fluids. Allowing your pets to breed is unethical and cruel, especially if you cannot take care of their offspring. Make sure you or your family members are NOT allergic to cats or dogs. It's common to see people taking in pets then dumping them a month later because some family member is allergic to them. Sarah suggests that a good way to test this is to board dogs or cats for family and friends. It's best to check out adoption options first, because by purchasing pets you encourage breeders to run unsolicited mills in their homes or farms where animals are kept in terrible conditions and treated like baby making machines. Try to buy or adopt from someone who keeps animals as PETS, with love and care. Ayesha also said: ""Don't be a breed snob. A reason why so many homeless animals are not adopted is because people prefer animals of foreign breeds rather than Pakistani ones"". Based on her own experience, Sarah added that adopting a stray animal with another breed reduces the chance of pets being stolen. Reach out to the pet community and do your research prior to purchasing or adopting. A pet is a life that you have taken responsibility of so make sure you are ready for it. Like Ayesha said, ""Getting a pet just because you find them cute in the moment is not a good reason for adopting an animal, ever""."
2010-10-15T00:00:00Z,Animal Cruelty haunts the Balkans,Animal cruelty haunts the Balkans - DAWN.COM,https://www.dawn.com/news/825431/animal-cruelty-haunts-the-balkans,"BELGRADE A video of a Bosnian girl tossing puppies into a fast-flowing river caused international outrage last month; earlier in the year there was the case of a dog found in Serbia with her paws cut off. There are other incidents - from tails hacked off strays to bears being forced to dance - to illustrate startling cruelty towards animals in the Balkans, where having pets was frowned on in the Communist era. The Balkans are “victims of a traditional primitivism”, said Velimir Ivanisevic of the Sarajevo-based Animal Protection group SOS, describing an “inappropriate attitude” towards animals in the region. The footage of the teenage girl casually taking squealing puppies out of a bucket and hurling them one by one into the river was all over the Internet. Authorities tracked her down but it is unclear if she will be charged. The case of the one-year-old dog discovered terrified under a car in a Belgrade suburb in April with her paws sawn off caused similar outrage. The stray, later named Mila, became a cause celebre and local media and businesses rallied to raise money for her care. After months of treatment, she has started to walk on her bandaged stumps. “Such blatant violence shocked even those who have never thought of animals and this is the only positive outcome from this disaster,” said psychologist Nadezda Markovic. Police opened an investigation but, almost six months later, no one has been made accountable. “It is often said, not only in Serbia, that violence against animals is not a big problem as long as there are people who are hungry or mistreated,” said Markovic. “But the difference is that in Serbia, brutal torture and mistreatment of animals is socially acceptable.” Belgrade Mayor Dragan Djilas has taken up Mila's cause, and vowed strict monitoring of her future owner to be chosen by a panel of veterinarians, animal rights activists and city representatives. “We have no way of fighting against sick minds who cut off dogs' paws ... We also need to raise awareness among adults who must take part in preventing monstrous acts such as this one,” Djilas said. Education is one way to confront cruelty to animals but so is cracking down with the full force of the law - something that is not happening, said Ivanisevic, from Bosnia's SOS rights group. “We have to raise younger generations with a right attitude, while with older ones ... we can fight only with fines,” he said. Bosnia adopted an animal protection law in 2009, allowing for fines for torturing animals from 15 to 5,000 euros (19 to 6,400 dollars) or prison terms of up to six months. But since then only one sentence has been delivered, said Ivanisevic, a 1,500-euro fine for a hunting association engaged by local authorities to kill stray dogs in a small town in Bosnia. In Serbia animal rights group Orka has pressured the authorities for years to become more involved in animal care, its campaign leading to strict protection laws in 2006 and the setting up of council-run shelters. Serbian laws may be strict but they mean nothing without the will and manpower to enforce them, said activist Verica Mijic, who is pushing for the establishment of special animal police units within the police. “We launched a petition on Facebook and in only a week, we already had 12,000 people supporting our cause,” she said. It is a similar story across the Balkans. “Most Balkan countries have introduced animal protection laws but they are largely just on paper only,” said Serbian activist Dragana Lucic. Croatia has sentenced one man to jail for animal abuse - he beat his dog to death because it whined and was friendly to passers-by. In Montenegro an animal protection law was introduced in 2008 but no one has been charged under it. It is fairly common to find newborn puppies in bags, or thrown in the river, activists said. Macedonia has had legislation against animal cruelty since 2008, but there are still monthly cases of mass poisoning of strays in the capital Skopje. Albania is yet to adopt an animal protection law and veterinarian Ilir Kusi said that “without it, it is normal to abuse and mistreat the animals”.—AFP"
2012-01-10T00:00:00Z,Animal welfare - A long way from home,Animal welfare – a long way from home - Pakistan - DAWN.COM,https://www.dawn.com/news/687007/animal-welfare-a-long-way-from-home,"In many ways 2011 was the so-called ‘year of revolution.’ These revolutions spread beyond borders; encompassed social, political and economic crises and brought about change in the world. In Pakistan, social bodies and activists hailed the bills and resolutions that were much called for in a country where the ideology of ‘rights’ remain undecipherable. Taking cue from this wind of change, the Society for the Prevention of Cruelty to Animals (SPCA) began working on a manual entailing the significance of animal rights, in an attempt to formulate laws to protect the ‘unprotected’, for the first time in several years. The manual includes an elaborate account of policies for protecting domestic and working animals. The debate continues “Why waste time on animal rights when humans don’t get their rights here?” is the usual response to the idea of animal welfare or animal rights in Pakistan. Meanwhile, animal lovers and activists strive to change the mindset that makes both these issues mutually exclusive. “We are trying to create awareness about the fact that we are all interconnected in the web of life, and the need to address different issues simultaneously is of utmost importance,” according to Mahera Omar, co-founder of Pakistan Animal Welfare Society (PAWS). Omar reiterates the negligence towards animal rights. “In a country like Pakistan, the environment and animal welfare are often dismissed as non-issues and countered with the argument that human beings come first.” Bringing about a behavioural change, amongst the people of Pakistan, is vital and PAWS is in the process of designing a ‘humane school kit’ to counsel students about the significance of compassion towards animals. Plight of 'working animals' Pakistan, much like all developing countries, relies on animals for laborious tasks. Equine animals, which include horses, donkeys and mules, face the brunt of animal abuse in most of the cases. Various myths and so-called ‘domestic treatments’ kill hundreds of animals across the country every year – ‘slit nose’ and ‘scorching the skin with metallic rods’ top the list. Dr Sher Nawaz, a veterinary surgeon deployed at Richmond Crawford Veterinary hospital deployed by Brook Hospital for Animals (international animal welfare organisation), informed Dawn.com about the practices being employed eradicate ‘old-school treatments’ which hurt animals more. “Slit nose is a practise which entails slitting the nostrils of animals so that ‘they are able to suck in more air’ for proper breathing. We have mobile health clinics and doctors travelling from place to place so that we can create awareness that this practise is absolutely uncalled for and has no connection with respiratory process.” Brook Pakistan organise community sessions to create awareness against the myths endangering animals’ lives and have set up various mobile health clinics to assist the animals in need. Dr Nawaz is optimistic of the awareness drives. “The post-community session surveys have shown a seven to eight per cent decline in nose slitting throughout the country, which is extremely positive.” “We now plan to visit different schools so that children can be taught about animal rights and advocate the same ideology,” he added. Animals in sports On the contrary to the working animals, animals that are frequently used in races and other equine sports are relatively better looked after by their masters. Donkeys and horses used in cart races are well fed and are taken to the veterinary doctors regularly, as they are required to compete against each other. However, this does not include animals that are raised for fighting, such as dogs and roosters, known for the infamous fights, resulting in deaths and injuries. Rescuing animals Pakistan is not an animal-oriented country which is why rescuing animals and providing them with appropriate shelters add to the woes of animals rights’ activists. “When people tell us about an injured animal, we usually request volunteers or private veterinary doctors in the city to help rescue it. Once the animal has recovered, we try to find a home for it, so that the clinics continue to have space to help more animals in need. If no home is found, then that leaves us with no option but to leave the animal back where we found it,” said Omar of PAWS. Renowned philanthropist and social worker, Abdul Sattar Edhi runs one of the biggest animal shelters in the country, which is located in the outskirts of Karachi. The shelter covers an area of four acres but is unable to provide proper treatment to the injured animals because veterinary doctors find the place ‘too far away for their comfort’. “We run shelters for humans and have never faced any issues regarding governing such an enterprise, however, land mafia has tried to encroach on the land which is meant for animals because people in Pakistan think that this cause is not good enough to be served,” Anwar Kazmi, Edhi’s secretary, told Dawn.com The so-called ‘animal lovers’, who generally belong to the elite section of the society, consider pets a status symbol. The more dogs one has, the richer he/she is. “We get requests from the ‘rich communities’ to take animals away every single day. Some time these animals are only a day or two old so we refuse to take them away because a suckling needs its mother. Anyone who has basic sense would know that a day old kittens and puppies are unable to survive on their own, without their mother,” Kazmi said. “These people do not love animals. They only keep them to show how wealthy they are.” Pedigreed adoptions Many people who appreciate animals are very particular about well-bred, pedigreed animals. However, if everyone will adopt only a pedigreed animal then who will look after all the strays that die or get killed everyday on the streets. PAWS, who give away the rescued animals for adoption, say the most frequently asked question is that about the animal’s breed. “People demand Persians, Siamese, German Shepherds, Boxers, Pitt Bulls and other ‘good breeds’. But what about the all the strays? Don't they deserve our love and affection? Should we not open our hearts and minds to them as well?” said PAWS’ Omar. Stray eradication Various municipal bodies eradicate stray animals by poisoning or shooting them, which is not only expensive but also inhumane. The best way to limit their population growth is to ensure that the streets are clean and garbage heaps are removed daily. Moreover, catching strays and spaying or neutering them is the only ‘humane’ course of action to adopt, in order to stop them from multiplying at a rapid rate. The government should collaborate with various animal welfare societies in order to bring about an end to animal abuse to foster a better and kind society. Animals are meant to be loved regardless of their respective breeds and people who love animals are the only hope to provide the strays with refuge and affection that they particularly deserve. Faiza Mirza is a reporter at Dawn.com."
2012-05-14T00:00:00Z,Breaking the cycle of animal abuse,Breaking the cycle of animal abuse - Pakistan - DAWN.COM,https://www.dawn.com/news/718298/breaking-the-cycle-of-animal-abuse,"Ardeshir Cowasjee, who does not need any introduction, during one of his many interviews, said that “this country was founded by people who loved animals, specifically dogs”. The famous picture of Quaid-e-Azam, playing with his black Doberman and white West Highland Terrier, is clearly plastered in the memories of many people who adore animals. Unfortunately, present-day Pakistan is governed by people who either do not appreciate the beauty of animals or are indifferent to their plight, which is why places such as pet markets, where animals are kept in heinous conditions for sale, thrive. The beauty of Empress Market, which remains a tourist attraction and a delight for art lovers all across the globe, camouflages all that lies within. Inside the labyrinthine market, there are streets where animals are kept, bought and sold. There is nothing wrong with selling or buying animals, however, the deplorable state in which these animals are kept is abhorrent! An animal lover myself, the zoo and Empress Market remained the two most fascinating places growing up. However, as a child I did not realise the dreadful condition these animals are kept under, in both the aforementioned places. One day, in a bid to revisit the fond memories of my childhood, I visited Empress Market’s animal shops only to find out what I had already dreaded. An “animal concentration camp” is an apt enough description of the condition in which countless cats, dogs, chicks and exotic birds are kept at Empress Market. Amidst the vegetable market are many shops where various animals as young as a few weeks old cry all day long for the sanctuary of their mothers. The cages are packed with kittens, chicks and puppies so much so that there is no room for proper ventilation. Many of the shops have secret chambers where emaciated baby jackals, partridges, owls and other exotic animals are kept without a morsel of food and water. Most of the animals are chained and caged under direct sunlight, panting from the heat. Dogs, deprived of affection and food, yelp constantly for attention. In an effort to look for a shop where the living conditions for animals was slightly better I met a chota or an underling of the shopkeeper, who on condition of anonymity said, “I am sure you can evidently see what all is going on in this market. I do not have to describe anything; however, I must say that the dogs are treated worse than all other animals. Most of the time when a puppy or a dog is severely sick, instead of taking it to a veterinarian, it is left to ‘recuperate’ on its own.” There are incurable diseases in which one has to get animals euthanised but what these shopkeepers do is that they release such animals out in the open, leaving them to die a frightful death,” he added. The truth in his statement was confirmed when I saw a pile of dead puppies lying in a rubbish heap a few meters away from the shop. The decaying remains of dogs, which are considered the most faithful companions, shook me to the core. I thought the sight of rotten dead puppies was the worst that the market had to offer me; however, I was very sadly mistaken. A few yards away I saw a German shepherd, who had defecated in the cage he was kept in, lying lifeless with filth all over and around him. Unable to curtail my anger I looked for the shopkeeper and demanded justification to which he conveniently said “it is being treated; you should have came later in the afternoon and seen how well these animals are looked after.” Hearing this I directed his attention to the aforementioned dog, on which he immediately threw a bucket full of sand. Another shopkeeper, adamant to prove his love for animals, brought out expired packets of animal food and powder used for killing cockroaches and bed bugs for the animals’ fleas and ticks. Disgusted by what I had just witnessed, I ran to the Sindh Wildlife Department to report the animal abuse. Sindh Wildlife Conservator, Saeed Baloch said, “I know that they sell endangered animals and that are very cruel to them. We raid their shops and there are times when we capture partridges, woodpeckers and other birds and release them into their own habitat. However, this network of animal shopkeepers is so strong that the minute our inspection team enters Empress Market, everything ‘illegal’ is either gone or hidden.” I refuse to accept that the deplorable state of affairs can escape anyone’s notice as the cruelty is immensely widespread. The only plausible solution to prevent people from abusing animals is to deploy animal cops at places where animals are kept, bought and sold. The trade of animals should be monitored by representatives of the Wildlife Department and officers should be present to ensure animal welfare during the operational hours of any such market. Another heinous aspect that keeps this cycle of animal abuse running is the fact that most of us believe that in a country where human rights are nonexistent, talking about animal rights is an unpardonable offence. Animal abusers continue with this cruelty because there is not penalty. According to the sources, the Wildlife Department may fine and lodge an FIR against shopkeepers who keep wild animals; however, there is no rule for protecting domestic animals such as dogs, parrots and cats. Shahabuddin Burfat, Karachi Honourary Game Warden, said, “We can take action against people who violate rules and regulations related to wildlife but there is no regulatory body to look after domestic animals. Having said that, I would also like to request people to report cases of animal abuse, to the wildlife authorities, as much as possible. Constant reports might urge the government to establish a committee for the protection of domestic and working animals.” Unless we develop a sense of protecting animals and reprimand people who are cruel towards them, the cycle of abuse will never break. Reporting abuse to the authorities might appear to be a futile exercise; however, it is important to bring animal cruelty into the notice of people who are in a position to offer help. Animal abuse of all kinds, including animals used for fighting, whilst working and captivity must be reported to the authorities, regardless of what the outcome might be. I refuse to believe that our country is dominated by people who are unkind to animals. It is just that the heavy majority, which appreciates and loves animals, is silent and has unfortunately become apathetic. We must realise that if we’re not kind to animals, we’re a very long way from becoming kind to people. The plight of these animals deserves to be heard, so let’s give them a voice. The writer is a Reporter at Dawn.com"
2013-05-08T00:00:00Z,PML-N's election symbol dies,PML-N's election symbol dies - Pakistan - DAWN.COM,https://beta.dawn.com/news/812692/pml-ns-election-symbol-dies,"LAHORE: Ever since the start of election season, live tigers and lions are a constant feature at PML-N political rallies. The party leader’s daughter, Mariam Nawaz, in particular enjoys bringing the white tiger to her rallies because of the attention it attracted. But the show stopper tiger is no more alive. Sources confirmed to Dawn.com that the rare tiger was brought unconscious to the University of Veterinary and Animal Sciences Lahore on Tuesday evening. The vets there tried to revive the animal but to no avail. The animal died this morning. According to WWF, white tigers are endangered and are extremely sensitive to heat and noise. With temperatures in Lahore soaring past thirty degrees Celsius and there being nothing but noise at the political rallies, the tiger could not survive. WWF has also confirmed that famed actor and conservationist Faryal Gohar is going to file a petition with the Lahore High Court against the illegal use of wildlife animals at rallies and other such activities. WWF is supporting the petition. The tiger belonged to a party worker who boasted off his ‘pet’ at Mariam Nawaz’s rallies. The animal can be seen in PML-N rallies across Punjab."
2013-05-09T00:00:00Z,"Tiger, tiger burning bright","Tiger, tiger burning bright - DAWN.COM",https://www.dawn.com/news/1026684/tiger-tiger-burning-bright,"On Wednesday, reports came in that the white tiger in question, which happens to be part of a rare species, suffocated in the heat of Lahore and died after being taken to the University of Veterinary and Animal Sciences Lahore. In the meanwhile, Maryam Nawaz denied on Twitter that the tiger was dead, while a doctor contradicted others at the university and also said the tiger was well – but the poor animal is still nowhere to be seen and confusion remains. Either way, the episode calls into question how the tiger was being used at the rally, in conditions that were nowhere near approximate to his natural habitat. According to WWF, white tigers are endangered and are extremely sensitive to heat and noise. A rally at the peak of summer in Punjab is likely to be noisy and suffocating. Animal rights are generally completely neglected in Pakistan. The WWF is supporting a petition, filed by animal rights activist and actress Faryal Gauhar, before the Lahore High Court against the PML-N. What do you think can be done to improve animal rights in Pakistan, a country where a large section of the human population even doesn’t have access to basic rights? Is it the PML-N’s fault that the animal in question suffered? What kind of laws can be passed to ensure this doesn't happen again? Dawn.com invites its readers to share their opinion and views."
2013-05-09T00:00:00Z,LHC admits petition on PML-N rare tiger's death,LHC admits petition on PML-N rare tiger's death - DAWN.COM,https://www.dawn.com/news/1026671/lhc-admits-petition-on-pml-n-rare-tigers-death,"LAHORE: Animal rights activist and actor Faryal Gauhar has filed a petition in Lahore High Court against the Pakistan Muslim Lesgue-Nawaz (PML-N) for the death of a rare tiger which they brought to many of their rallies. The high court has admitted the petition for hearing on May 14. Rare tigers and lions are a constant feature at PML-N political rallies until yesterday when a rare white tiger died of extreme heat and suffocation. The death of the tiger has created a huge uproar in the country with animal rights activists calling for the registration of the case against PML-N leaders. Sources confirmed to Dawn.com that the rare tiger was brought unconscious to the University of Veterinary and Animal Sciences Lahore on Tuesday evening. The vets there tried to revive the animal but to no avail. The animal died yesterday morning. According to WWF, white tigers are endangered and are extremely sensitive to heat and noise. With temperatures in Lahore soaring past thirty degrees Celsius and there being nothing but noise at the political rallies, the tiger could not survive. WWF has also confirmed that famed actor and conservationist Faryal Gohar is going to file a petition with the Lahore High Court against the illegal use of wildlife animals at rallies and other such activities. WWF is supporting the petition. The tiger belonged to a party worker who boasted off his ‘pet’ at Mariam Nawaz’s rallies. The animal can be seen in PML-N rallies across Punjab."
2014-09-19T00:00:00Z,"Animal Abuse, in the name of Protest","Animal abuse, in the name of protest - Pakistan - DAWN.COM",https://www.dawn.com/news/1132998,"Donkeys, dogs, tigers, lions - and now wild boars - are the unfortunate targets of often extreme abuse in Pakistan's rallies and protests. The Nation reported recently that a wild boar was beaten to death by protesters in Islamabad. The protesters also scrawled “Go Nawaz Go” on the boar and tied its limbs with cables before thrashing it to death with sticks. Sadly, this is not the first time an animal has been tortured or killed during a protest, and the practice of bringing helpless creatures out to large public gatherings - a form of torture for many wild animals in itself - continues with next to no criticism. Before the May 2013 general elections, a white tiger being used by the Pakistan Muslim League - Nawaz (PML-N) during one of its rallies died, reportedly due to soaring temperatures which the animal wasn't used to living in. 'Gadha', the urdu word for donkey, is considered a form of abuse, which is the reason why many protests feature donkeys as a reference to rival political figures or other targets. The creatures are often beaten, spray painted and led through crowds for long hours. The PML-N is notorious for bringing tigers and lions - the party's election symbol - out to its rallies. Pakistanis still protest against the US and Israel by either burning flags or tying them to donkeys, who are then beaten."
2014-11-29T00:00:00Z,Searching for strays: Where are Pakistan's animal shelters?,Searching for strays: Where are Pakistan's animal shelters? - DAWN.COM,https://www.dawn.com/news/1147713,"Domesticated dogs were already common in 12000 BCE, with some theories suggesting their presence as far back as 16,000 years ago. It is safe to say our companionship is as old as humanity’s recorded history. They shepherd, hunt, guard and pull sleds, all for the price of food, shelter, and a little love. A few months ago, perhaps as a byproduct of having seen too much Cesar Millan on NatGeo, I decided to adopt and raise a puppy. After some research and serious thinking, I came to like the Pit Bull breed. People said they were a handful, but I figured I was too manly to let a little thing like a dog equivalent of a tank deter me. So, I researched some more about the right age, ideal health, structure, etc. and set out to find one. It was a sad realisation that a mere handful of breeders actually knew what they were doing. Some charge criminal amounts and are generally unreliable. But, I’ll skip that part for now. What's more important is that at this point, a good friend of mine pointed me towards the advantage of rescuing a stray puppy off the street. One, they are better acclimated to the environment (leading to better immune systems and more tolerance of extreme weathers). Two, he said, you would be doing a good deed. Also read: People urged to adopt stray animals instead of fancy breeds My friend also pointed out that just because it's a street dog does not make it any less beautiful. Some of them actually look as gorgeous as any pure breeds. I thought to myself, I'm certainly up for it. And stray puppies can’t be hard to find, right? All I’d have to do is stand on the side of a road for four minutes and I’d have one. If I waited a minute more, I’d have choices. Unfortunately, no, it wasn’t that easy. There were numerous reports of stray puppy sightings, but no confirmations that I could make. I once even drove around all of Islamabad just to find a puppy. I found one grownup stray dog, and that was it. The handful I did eventually see were traveling as a family. My wife reminded me that I would be separating a pup from its mother, also known as abduction, so I let them be. A quick Google search told me that though there do exist a few animal rescue services, they are available mostly in major cities and they tend to have more cats than dogs. There is the Bahria Animal Rescue Foundation in Islamabad and the Pakistan Animal Welfare Society operating out of Karachi (amongst others) who are doing what they can, and there are numerous individuals doing their part, but they are even harder to find than the puppies themselves. Also read: Breaking the cycle of animal abuse My search also led me to Lahore’s Tollinton market, where pets were as abundant as there were cheating businessmen. They were trying to pawn off abducted strays as breeds. If you’re not an expert, a clear coloured stray and a Labrador aren’t that different from one another. Shopkeepers make all kinds of promises and guarantees of the dogs’ pure breeds, but I can’t imagine them taking responsibility once the dog grows up and you realise that you’ve been gypped. Moreover, their treatment is cruel: pups sleep in filthy environments, have their cages kicked constantly when a potential customer comes in. It was a place to actively avoid. The thing is that dogs are pack animals. Traditionally accustomed to living in dens owing to their wolf origins. Mothers will hide their pups in places similar to dens where their scent cannot be picked up by potential predators. This means they will be found in sewers, abandoned buildings, isolated areas just at the outskirts of human habitat, etc. Mothers go out and nourish themselves, then come back and feed the pups, until they are strong enough to forage with her. Read on: Animal welfare – a long way from home Sometimes, given the curious nature of puppies, one or two will stray from their dens while the mother is away; they don’t always return. Or, more commonly and quite unfortunately, as it so happens everywhere traffic is found, some mothers don’t make it back to their puppies. These puppies are unlikely to see adulthood. If you are interested in finding yourself a puppy, rescue one of these. Even if you would have to look hard to find them. If it is your first puppy, make sure you take along someone who knows about dogs, so they can tell you if the dogs are indeed abandoned or if their mothers are absent temporarily. You can’t know for sure, but if the puppies appear healthy and well fed, then the mother is probably around. Even though purebreds have temperaments and habits that make them more adept at certain situations, with just a tinge more effort, you can raise any dog about the same. It all comes down to understanding the nature of the animal. Explore: Pets on wheels Some people raise docile Pit Bulls and bulldogs, while others raise aggressive Labradors — it’s all about the kind of effort you want to put in. If you want your dog to be the textbook definition of a dog, you’ll have to put in a few months of effort. The outcome is worth it though. I do wish though that the city’s development authority had an officially sanctioned animal shelter where kids could get their first pets. Instead, we have roaming death squads (much more common in smaller cities). If you have a special affinity towards a pure breed, then by all means, go for it (you probably already know what I’ve just said). However, if all you want is a pet to play with and to keep you safe, you should definitely consider rescuing one off the street. Related:"
