term,degree
abuse,61
animal,61
people,61
dog,61
pakistan,61
pet,61
live,61
medium,61
social,61
karachi,61
run,61
cruelty,61
care,61
start,61
food,61
don,61
raise,61
street,61
issue,61
world,61
video,61
time,60
day,60
right,60
human,60
welfare,60
call,60
government,60
kill,60
country,60
treat,60
bring,60
law,60
activist,60
stray,60
provide,60
tell,60
report,60
society,60
rescue,60
child,60
share,60
add,60
authority,60
post,60
incident,60
owner,60
donkey,60
eat,60
police,60
cat,59
shelter,59
city,59
love,59
local,59
wildlife,59
ayesha,59
acf,57
woman,57
zoo,55
camel,55
vegan,22
